chromosome	source	feature	start	end	score	strand	frame	gene_id	 transcript_id 	 exon_number 	 gene_name 	 gene_biotype 	 transcript_name 	 protein_id 
18	protein_coding	exon	3325359	3325476	.	-	.	ENSMUSG00000063889	ENSMUST00000025069	3	Crem	protein_coding	Crem-201	
18	protein_coding	CDS	3325359	3325476	.	-	1	ENSMUSG00000063889	ENSMUST00000025069	3	Crem	protein_coding	Crem-201	ENSMUSP00000025069
18	protein_coding	exon	3299160	3299306	.	-	.	ENSMUSG00000063889	ENSMUST00000025069	4	Crem	protein_coding	Crem-201	
18	protein_coding	CDS	3299160	3299306	.	-	0	ENSMUSG00000063889	ENSMUST00000025069	4	Crem	protein_coding	Crem-201	ENSMUSP00000025069
18	protein_coding	exon	3295320	3295414	.	-	.	ENSMUSG00000063889	ENSMUST00000025069	5	Crem	protein_coding	Crem-201	
18	protein_coding	CDS	3295320	3295414	.	-	0	ENSMUSG00000063889	ENSMUST00000025069	5	Crem	protein_coding	Crem-201	ENSMUSP00000025069
18	protein_coding	exon	3295038	3295180	.	-	.	ENSMUSG00000063889	ENSMUST00000025069	6	Crem	protein_coding	Crem-201	
18	protein_coding	CDS	3295038	3295180	.	-	1	ENSMUSG00000063889	ENSMUST00000025069	6	Crem	protein_coding	Crem-201	ENSMUSP00000025069
18	protein_coding	exon	3287902	3288090	.	-	.	ENSMUSG00000063889	ENSMUST00000025069	7	Crem	protein_coding	Crem-201	
18	protein_coding	CDS	3287902	3288090	.	-	2	ENSMUSG00000063889	ENSMUST00000025069	7	Crem	protein_coding	Crem-201	ENSMUSP00000025069
18	protein_coding	exon	3273420	3273576	.	-	.	ENSMUSG00000063889	ENSMUST00000025069	8	Crem	protein_coding	Crem-201	
18	protein_coding	CDS	3273420	3273576	.	-	2	ENSMUSG00000063889	ENSMUST00000025069	8	Crem	protein_coding	Crem-201	ENSMUSP00000025069
18	protein_coding	exon	3266354	3268127	.	-	.	ENSMUSG00000063889	ENSMUST00000025069	9	Crem	protein_coding	Crem-201	
18	protein_coding	CDS	3267986	3268127	.	-	1	ENSMUSG00000063889	ENSMUST00000025069	9	Crem	protein_coding	Crem-201	ENSMUSP00000025069
18	protein_coding	stop_codon	3267983	3267985	.	-	0	ENSMUSG00000063889	ENSMUST00000025069	9	Crem	protein_coding	Crem-201	
18	protein_coding	exon	3337378	3337587	.	-	.	ENSMUSG00000063889	ENSMUST00000082141	1	Crem	protein_coding	Crem-203	
18	protein_coding	exon	3327492	3327589	.	-	.	ENSMUSG00000063889	ENSMUST00000082141	2	Crem	protein_coding	Crem-203	
18	protein_coding	CDS	3327492	3327535	.	-	0	ENSMUSG00000063889	ENSMUST00000082141	2	Crem	protein_coding	Crem-203	ENSMUSP00000080780
18	protein_coding	start_codon	3327533	3327535	.	-	0	ENSMUSG00000063889	ENSMUST00000082141	2	Crem	protein_coding	Crem-203	
18	protein_coding	exon	3325359	3325476	.	-	.	ENSMUSG00000063889	ENSMUST00000082141	3	Crem	protein_coding	Crem-203	
18	protein_coding	CDS	3325359	3325476	.	-	1	ENSMUSG00000063889	ENSMUST00000082141	3	Crem	protein_coding	Crem-203	ENSMUSP00000080780
18	protein_coding	exon	3295320	3295414	.	-	.	ENSMUSG00000063889	ENSMUST00000082141	4	Crem	protein_coding	Crem-203	
18	protein_coding	CDS	3295320	3295414	.	-	0	ENSMUSG00000063889	ENSMUST00000082141	4	Crem	protein_coding	Crem-203	ENSMUSP00000080780
18	protein_coding	exon	3295038	3295180	.	-	.	ENSMUSG00000063889	ENSMUST00000082141	5	Crem	protein_coding	Crem-203	
18	protein_coding	CDS	3295038	3295180	.	-	1	ENSMUSG00000063889	ENSMUST00000082141	5	Crem	protein_coding	Crem-203	ENSMUSP00000080780
18	protein_coding	exon	3287902	3288090	.	-	.	ENSMUSG00000063889	ENSMUST00000082141	6	Crem	protein_coding	Crem-203	
18	protein_coding	CDS	3287902	3288090	.	-	2	ENSMUSG00000063889	ENSMUST00000082141	6	Crem	protein_coding	Crem-203	ENSMUSP00000080780
18	protein_coding	exon	3276692	3276727	.	-	.	ENSMUSG00000063889	ENSMUST00000082141	7	Crem	protein_coding	Crem-203	
18	protein_coding	CDS	3276692	3276727	.	-	2	ENSMUSG00000063889	ENSMUST00000082141	7	Crem	protein_coding	Crem-203	ENSMUSP00000080780
18	protein_coding	exon	3273420	3273576	.	-	.	ENSMUSG00000063889	ENSMUST00000082141	8	Crem	protein_coding	Crem-203	
18	protein_coding	CDS	3273420	3273576	.	-	2	ENSMUSG00000063889	ENSMUST00000082141	8	Crem	protein_coding	Crem-203	ENSMUSP00000080780
18	protein_coding	exon	3266354	3268127	.	-	.	ENSMUSG00000063889	ENSMUST00000082141	9	Crem	protein_coding	Crem-203	
18	protein_coding	CDS	3267986	3268127	.	-	1	ENSMUSG00000063889	ENSMUST00000082141	9	Crem	protein_coding	Crem-203	ENSMUSP00000080780
18	protein_coding	stop_codon	3267983	3267985	.	-	0	ENSMUSG00000063889	ENSMUST00000082141	9	Crem	protein_coding	Crem-203	
18	protein_coding	exon	3337378	3337587	.	-	.	ENSMUSG00000063889	ENSMUST00000165086	1	Crem	protein_coding	Crem-205	
18	protein_coding	exon	3327492	3327589	.	-	.	ENSMUSG00000063889	ENSMUST00000165086	2	Crem	protein_coding	Crem-205	
18	protein_coding	CDS	3327492	3327535	.	-	0	ENSMUSG00000063889	ENSMUST00000165086	2	Crem	protein_coding	Crem-205	ENSMUSP00000127353
18	protein_coding	start_codon	3327533	3327535	.	-	0	ENSMUSG00000063889	ENSMUST00000165086	2	Crem	protein_coding	Crem-205	
18	protein_coding	exon	3325359	3325476	.	-	.	ENSMUSG00000063889	ENSMUST00000165086	3	Crem	protein_coding	Crem-205	
18	protein_coding	CDS	3325359	3325476	.	-	1	ENSMUSG00000063889	ENSMUST00000165086	3	Crem	protein_coding	Crem-205	ENSMUSP00000127353
18	protein_coding	exon	3299160	3299306	.	-	.	ENSMUSG00000063889	ENSMUST00000165086	4	Crem	protein_coding	Crem-205	
18	protein_coding	CDS	3299160	3299306	.	-	0	ENSMUSG00000063889	ENSMUST00000165086	4	Crem	protein_coding	Crem-205	ENSMUSP00000127353
18	protein_coding	exon	3295320	3295414	.	-	.	ENSMUSG00000063889	ENSMUST00000165086	5	Crem	protein_coding	Crem-205	
18	protein_coding	CDS	3295320	3295414	.	-	0	ENSMUSG00000063889	ENSMUST00000165086	5	Crem	protein_coding	Crem-205	ENSMUSP00000127353
18	protein_coding	exon	3295038	3295180	.	-	.	ENSMUSG00000063889	ENSMUST00000165086	6	Crem	protein_coding	Crem-205	
18	protein_coding	CDS	3295038	3295180	.	-	1	ENSMUSG00000063889	ENSMUST00000165086	6	Crem	protein_coding	Crem-205	ENSMUSP00000127353
18	protein_coding	exon	3276692	3276727	.	-	.	ENSMUSG00000063889	ENSMUST00000165086	7	Crem	protein_coding	Crem-205	
18	protein_coding	CDS	3276692	3276727	.	-	2	ENSMUSG00000063889	ENSMUST00000165086	7	Crem	protein_coding	Crem-205	ENSMUSP00000127353
18	protein_coding	exon	3273420	3273576	.	-	.	ENSMUSG00000063889	ENSMUST00000165086	8	Crem	protein_coding	Crem-205	
18	protein_coding	CDS	3273420	3273576	.	-	2	ENSMUSG00000063889	ENSMUST00000165086	8	Crem	protein_coding	Crem-205	ENSMUSP00000127353
18	protein_coding	exon	3266354	3268127	.	-	.	ENSMUSG00000063889	ENSMUST00000165086	9	Crem	protein_coding	Crem-205	
18	protein_coding	CDS	3267986	3268127	.	-	1	ENSMUSG00000063889	ENSMUST00000165086	9	Crem	protein_coding	Crem-205	ENSMUSP00000127353
18	protein_coding	stop_codon	3267983	3267985	.	-	0	ENSMUSG00000063889	ENSMUST00000165086	9	Crem	protein_coding	Crem-205	
18	protein_coding	exon	3337378	3337587	.	-	.	ENSMUSG00000063889	ENSMUST00000073545	1	Crem	protein_coding	Crem-202	
18	protein_coding	exon	3327492	3327589	.	-	.	ENSMUSG00000063889	ENSMUST00000073545	2	Crem	protein_coding	Crem-202	
18	protein_coding	exon	3325359	3325476	.	-	.	ENSMUSG00000063889	ENSMUST00000073545	3	Crem	protein_coding	Crem-202	
18	protein_coding	CDS	3325359	3325472	.	-	0	ENSMUSG00000063889	ENSMUST00000073545	3	Crem	protein_coding	Crem-202	ENSMUSP00000073235
18	protein_coding	start_codon	3325470	3325472	.	-	0	ENSMUSG00000063889	ENSMUST00000073545	3	Crem	protein_coding	Crem-202	
18	protein_coding	exon	3295320	3295414	.	-	.	ENSMUSG00000063889	ENSMUST00000073545	4	Crem	protein_coding	Crem-202	
18	protein_coding	CDS	3295320	3295414	.	-	0	ENSMUSG00000063889	ENSMUST00000073545	4	Crem	protein_coding	Crem-202	ENSMUSP00000073235
18	protein_coding	exon	3295038	3295180	.	-	.	ENSMUSG00000063889	ENSMUST00000073545	5	Crem	protein_coding	Crem-202	
18	protein_coding	CDS	3295038	3295180	.	-	1	ENSMUSG00000063889	ENSMUST00000073545	5	Crem	protein_coding	Crem-202	ENSMUSP00000073235
18	protein_coding	exon	3276692	3276727	.	-	.	ENSMUSG00000063889	ENSMUST00000073545	6	Crem	protein_coding	Crem-202	
18	protein_coding	CDS	3276692	3276727	.	-	2	ENSMUSG00000063889	ENSMUST00000073545	6	Crem	protein_coding	Crem-202	ENSMUSP00000073235
18	protein_coding	exon	3273420	3273576	.	-	.	ENSMUSG00000063889	ENSMUST00000073545	7	Crem	protein_coding	Crem-202	
18	protein_coding	CDS	3273420	3273576	.	-	2	ENSMUSG00000063889	ENSMUST00000073545	7	Crem	protein_coding	Crem-202	ENSMUSP00000073235
18	protein_coding	exon	3266354	3268127	.	-	.	ENSMUSG00000063889	ENSMUST00000073545	8	Crem	protein_coding	Crem-202	
18	protein_coding	CDS	3267986	3268127	.	-	1	ENSMUSG00000063889	ENSMUST00000073545	8	Crem	protein_coding	Crem-202	ENSMUSP00000073235
18	protein_coding	stop_codon	3267983	3267985	.	-	0	ENSMUSG00000063889	ENSMUST00000073545	8	Crem	protein_coding	Crem-202	
18	protein_coding	exon	3281686	3281767	.	-	.	ENSMUSG00000063889	ENSMUST00000140332	1	Crem	protein_coding	Crem-025	
18	protein_coding	CDS	3281686	3281710	.	-	0	ENSMUSG00000063889	ENSMUST00000140332	1	Crem	protein_coding	Crem-025	ENSMUSP00000115423
18	protein_coding	start_codon	3281708	3281710	.	-	0	ENSMUSG00000063889	ENSMUST00000140332	1	Crem	protein_coding	Crem-025	
18	protein_coding	exon	3273420	3273576	.	-	.	ENSMUSG00000063889	ENSMUST00000140332	2	Crem	protein_coding	Crem-025	
18	protein_coding	CDS	3273420	3273576	.	-	2	ENSMUSG00000063889	ENSMUST00000140332	2	Crem	protein_coding	Crem-025	ENSMUSP00000115423
18	protein_coding	exon	3266955	3267730	.	-	.	ENSMUSG00000063889	ENSMUST00000140332	3	Crem	protein_coding	Crem-025	
18	protein_coding	CDS	3267589	3267730	.	-	1	ENSMUSG00000063889	ENSMUST00000140332	3	Crem	protein_coding	Crem-025	ENSMUSP00000115423
18	protein_coding	stop_codon	3267586	3267588	.	-	0	ENSMUSG00000063889	ENSMUST00000140332	3	Crem	protein_coding	Crem-025	
18	processed_transcript	exon	3337378	3337511	.	-	.	ENSMUSG00000063889	ENSMUST00000140912	1	Crem	protein_coding	Crem-005	
18	processed_transcript	exon	3273420	3273576	.	-	.	ENSMUSG00000063889	ENSMUST00000140912	2	Crem	protein_coding	Crem-005	
18	processed_transcript	exon	3266961	3268127	.	-	.	ENSMUSG00000063889	ENSMUST00000140912	3	Crem	protein_coding	Crem-005	
18	protein_coding	exon	3337378	3337746	.	-	.	ENSMUSG00000063889	ENSMUST00000154470	1	Crem	protein_coding	Crem-006	
18	protein_coding	exon	3327492	3327589	.	-	.	ENSMUSG00000063889	ENSMUST00000154470	2	Crem	protein_coding	Crem-006	
18	protein_coding	CDS	3327492	3327535	.	-	0	ENSMUSG00000063889	ENSMUST00000154470	2	Crem	protein_coding	Crem-006	ENSMUSP00000118128
18	protein_coding	start_codon	3327533	3327535	.	-	0	ENSMUSG00000063889	ENSMUST00000154470	2	Crem	protein_coding	Crem-006	
18	protein_coding	exon	3325359	3325476	.	-	.	ENSMUSG00000063889	ENSMUST00000154470	3	Crem	protein_coding	Crem-006	
18	protein_coding	CDS	3325359	3325476	.	-	1	ENSMUSG00000063889	ENSMUST00000154470	3	Crem	protein_coding	Crem-006	ENSMUSP00000118128
18	protein_coding	exon	3299160	3299306	.	-	.	ENSMUSG00000063889	ENSMUST00000154470	4	Crem	protein_coding	Crem-006	
18	protein_coding	CDS	3299160	3299306	.	-	0	ENSMUSG00000063889	ENSMUST00000154470	4	Crem	protein_coding	Crem-006	ENSMUSP00000118128
18	protein_coding	exon	3295320	3295414	.	-	.	ENSMUSG00000063889	ENSMUST00000154470	5	Crem	protein_coding	Crem-006	
18	protein_coding	CDS	3295320	3295414	.	-	0	ENSMUSG00000063889	ENSMUST00000154470	5	Crem	protein_coding	Crem-006	ENSMUSP00000118128
18	protein_coding	exon	3295038	3295180	.	-	.	ENSMUSG00000063889	ENSMUST00000154470	6	Crem	protein_coding	Crem-006	
18	protein_coding	CDS	3295038	3295180	.	-	1	ENSMUSG00000063889	ENSMUST00000154470	6	Crem	protein_coding	Crem-006	ENSMUSP00000118128
18	protein_coding	exon	3273420	3273576	.	-	.	ENSMUSG00000063889	ENSMUST00000154470	7	Crem	protein_coding	Crem-006	
18	protein_coding	CDS	3273420	3273576	.	-	2	ENSMUSG00000063889	ENSMUST00000154470	7	Crem	protein_coding	Crem-006	ENSMUSP00000118128
18	protein_coding	exon	3267259	3268127	.	-	.	ENSMUSG00000063889	ENSMUST00000154470	8	Crem	protein_coding	Crem-006	
18	protein_coding	CDS	3267986	3268127	.	-	1	ENSMUSG00000063889	ENSMUST00000154470	8	Crem	protein_coding	Crem-006	ENSMUSP00000118128
18	protein_coding	stop_codon	3267983	3267985	.	-	0	ENSMUSG00000063889	ENSMUST00000154470	8	Crem	protein_coding	Crem-006	
18	protein_coding	exon	3299448	3299554	.	-	.	ENSMUSG00000063889	ENSMUST00000129435	1	Crem	protein_coding	Crem-021	
18	protein_coding	CDS	3299448	3299450	.	-	0	ENSMUSG00000063889	ENSMUST00000129435	1	Crem	protein_coding	Crem-021	ENSMUSP00000117438
18	protein_coding	start_codon	3299448	3299450	.	-	0	ENSMUSG00000063889	ENSMUST00000129435	1	Crem	protein_coding	Crem-021	
18	protein_coding	exon	3295320	3295414	.	-	.	ENSMUSG00000063889	ENSMUST00000129435	2	Crem	protein_coding	Crem-021	
18	protein_coding	CDS	3295320	3295414	.	-	0	ENSMUSG00000063889	ENSMUST00000129435	2	Crem	protein_coding	Crem-021	ENSMUSP00000117438
18	protein_coding	exon	3295038	3295180	.	-	.	ENSMUSG00000063889	ENSMUST00000129435	3	Crem	protein_coding	Crem-021	
18	protein_coding	CDS	3295038	3295180	.	-	1	ENSMUSG00000063889	ENSMUST00000129435	3	Crem	protein_coding	Crem-021	ENSMUSP00000117438
18	protein_coding	exon	3287902	3288090	.	-	.	ENSMUSG00000063889	ENSMUST00000129435	4	Crem	protein_coding	Crem-021	
18	protein_coding	CDS	3287902	3288090	.	-	2	ENSMUSG00000063889	ENSMUST00000129435	4	Crem	protein_coding	Crem-021	ENSMUSP00000117438
18	protein_coding	exon	3273420	3273576	.	-	.	ENSMUSG00000063889	ENSMUST00000129435	5	Crem	protein_coding	Crem-021	
18	protein_coding	CDS	3273420	3273576	.	-	2	ENSMUSG00000063889	ENSMUST00000129435	5	Crem	protein_coding	Crem-021	ENSMUSP00000117438
18	protein_coding	exon	3267262	3267730	.	-	.	ENSMUSG00000063889	ENSMUST00000129435	6	Crem	protein_coding	Crem-021	
18	protein_coding	CDS	3267589	3267730	.	-	1	ENSMUSG00000063889	ENSMUST00000129435	6	Crem	protein_coding	Crem-021	ENSMUSP00000117438
18	protein_coding	stop_codon	3267586	3267588	.	-	0	ENSMUSG00000063889	ENSMUST00000129435	6	Crem	protein_coding	Crem-021	
