bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID
585	YGL201C	chrVII	-	117857	120911	117857	120911	1	117857,	120911,	P53091
585	YGL200C	chrVII	-	122698	123310	122698	123310	1	122698,	123310,	P32803
585	YGL199C	chrVII	-	123576	124047	123576	124047	1	123576,	124047,	n/a
585	YGL198W	chrVII	+	123595	124303	123595	124303	1	123595,	124303,	P53093
585	YGL197W	chrVII	+	124702	129166	124702	129166	1	124702,	129166,	P53094
73	YGL196W	chrVII	+	129887	131174	129887	131174	1	129887,	131174,	P53095
586	YGL195W	chrVII	+	131530	139549	131530	139549	1	131530,	139549,	P33892
586	YGL194C-A	chrVII	-	139724	139967	139724	139967	1	139724,	139967,	Q2V2P6
586	YGL194C	chrVII	-	140373	141732	140373	141732	1	140373,	141732,	P53096
586	YGL193C	chrVII	-	141921	142233	141921	142233	1	141921,	142233,	P53097
586	YGL192W	chrVII	+	142251	144054	142251	144054	1	142251,	144054,	P41833
586	YGL191W	chrVII	+	144813	145203	144813	145203	1	144813,	145203,	P32799
586	YGL190C	chrVII	-	145814	147395	145814	147395	1	145814,	147395,	Q00362
586	YGL189C	chrVII	-	148234	148972	148234	148594	2	148234,148604,	148594,148972,	P39938
586	YGL188C-A	chrVII	-	148829	148970	148829	148970	1	148829,	148970,	Q8TGU1
586	YGL188C	chrVII	-	149348	149522	149348	149522	1	149348,	149522,	n/a
586	YGL187C	chrVII	-	149709	150531	149709	150177	2	149709,150189,	150177,150531,	P04037
586	YGL186C	chrVII	-	151042	152782	151042	152782	1	151042,	152782,	P53099
586	YGL185C	chrVII	-	153172	154312	153172	154312	1	153172,	154312,	P53100
586	YGL184C	chrVII	-	154620	156018	154620	156018	1	154620,	156018,	P53101
586	YGL183C	chrVII	-	156548	157291	156548	157291	2	156548,157288,	157205,157291,	P53102
586	YGL182C	chrVII	-	157278	157602	157278	157602	1	157278,	157602,	n/a
586	YGL181W	chrVII	+	157911	159102	157911	159102	1	157911,	159102,	P40956
586	YGL180W	chrVII	+	160070	162764	160070	162764	1	160070,	162764,	P53104
586	YGL179C	chrVII	-	163414	165097	163414	165097	1	163414,	165097,	P43637
586	YGL178W	chrVII	+	167357	170577	167357	170577	2	167357,168000,	167360,170577,	P39016
586	YGL177W	chrVII	+	167564	167912	167564	167912	1	167564,	167912,	n/a
586	YGL176C	chrVII	-	171420	173085	171420	173085	1	171420,	173085,	P46945
586	YGL175C	chrVII	-	173290	174328	173290	174328	1	173290,	174328,	P46946
586	YGL174W	chrVII	+	174550	175351	174550	175351	1	174550,	175351,	P46947
586	YGL173C	chrVII	-	175532	180119	175532	180119	1	175532,	180119,	P22147
586	YGL172W	chrVII	+	180705	182124	180705	182124	1	180705,	182124,	Q02199
586	YGL171W	chrVII	+	182395	184090	182395	184090	1	182395,	184090,	P45818
586	YGL170C	chrVII	-	184158	185400	184158	185400	1	184158,	185400,	P45819
586	YGL169W	chrVII	+	186064	187345	186064	187345	1	186064,	187345,	P32579
586	YGL168W	chrVII	+	187469	187802	187469	187802	1	187469,	187802,	P45820
586	YGL167C	chrVII	-	187621	190474	187621	190474	1	187621,	190474,	P13586
586	YGL166W	chrVII	+	191134	191812	191134	191812	1	191134,	191812,	P15315
586	YGL165C	chrVII	-	191403	191982	191403	191982	1	191403,	191982,	n/a
586	YGL164C	chrVII	-	191983	193306	191983	193306	1	191983,	193306,	P53107
586	YGL163C	chrVII	-	193712	196409	193712	196409	1	193712,	196409,	P32863
586	YGL162W	chrVII	+	198143	199043	198143	199043	1	198143,	199043,	P53032
586	YGL161C	chrVII	-	199215	200148	199215	200148	1	199215,	200148,	P53108
586	YGL160W	chrVII	+	200566	202279	200566	202279	1	200566,	202279,	P53109
586	YGL159W	chrVII	+	202726	203839	202726	203839	1	202726,	203839,	P53110
586	YGL158W	chrVII	+	207037	208576	207037	208576	1	207037,	208576,	P38622
586	YGL157W	chrVII	+	209010	210054	209010	210054	1	209010,	210054,	P53111
586	YGL156W	chrVII	+	210420	213672	210420	213672	1	210420,	213672,	P22855
586	YGL155W	chrVII	+	214085	215216	214085	215216	1	214085,	215216,	P18898
586	YGL154C	chrVII	-	215282	216101	215282	216101	1	215282,	216101,	P50113
586	YGL153W	chrVII	+	216277	217303	216277	217303	1	216277,	217303,	P53112
586	YGL152C	chrVII	-	216696	217374	216696	217374	1	216696,	217374,	n/a
586	YGL151W	chrVII	+	217528	220927	217528	220927	1	217528,	220927,	P53114
586	YGL150C	chrVII	-	221108	225578	221108	225578	1	221108,	225578,	P53115
586	YGL149W	chrVII	+	225576	225882	225576	225882	1	225576,	225882,	n/a
586	YGL148W	chrVII	+	226403	227534	226403	227534	1	226403,	227534,	P28777
586	YGL147C	chrVII	-	227758	228334	227758	228334	1	227758,	228334,	P05738
586	YGL146C	chrVII	-	228755	229691	228755	229691	1	228755,	229691,	P53117
586	YGL145W	chrVII	+	230247	232353	230247	232353	1	230247,	232353,	P33891
586	YGL144C	chrVII	-	232454	234512	232454	234512	1	232454,	234512,	P53118
586	YGL143C	chrVII	-	234721	235963	234721	235963	1	234721,	235963,	P30775
586	YGL142C	chrVII	-	236273	238124	236273	238124	1	236273,	238124,	P30777
586	YGL141W	chrVII	+	238357	241090	238357	241090	1	238357,	241090,	P53119
586	YGL140C	chrVII	-	241357	245017	241357	245017	1	241357,	245017,	P53120
586	YGL139W	chrVII	+	245720	248129	245720	248129	1	245720,	248129,	P53121
586	YGL138C	chrVII	-	248498	249536	248498	249536	1	248498,	249536,	P53122
586	YGL137W	chrVII	+	249873	252743	249873	252743	2	249873,250091,	249891,252743,	P41811
586	YGL136C	chrVII	-	252901	253864	252901	253864	1	252901,	253864,	P53123
586	YGL135W	chrVII	+	254645	255299	254645	255299	1	254645,	255299,	P53030
586	YGL134W	chrVII	+	255667	256969	255667	256969	1	255667,	256969,	P53124
586	YGL133W	chrVII	+	257711	261506	257711	261506	1	257711,	261506,	P53125
586	YGL132W	chrVII	+	261584	261920	261584	261920	1	261584,	261920,	n/a
73	YGL131C	chrVII	-	261652	265864	261652	265864	1	261652,	265864,	P53127
587	YGL130W	chrVII	+	266149	267529	266149	267529	1	266149,	267529,	Q01159
587	YGL129C	chrVII	-	267727	269194	267727	269194	1	267727,	269194,	Q01163
587	YGL128C	chrVII	-	269298	270150	269298	270150	1	269298,	270150,	P52868
587	YGL127C	chrVII	-	270397	270781	270397	270781	1	270397,	270781,	P38633
587	YGL126W	chrVII	+	271002	272145	271002	272145	1	271002,	272145,	P53012
587	YGL125W	chrVII	+	272525	274328	272525	274328	1	272525,	274328,	P53128
587	YGL124C	chrVII	-	274785	276720	274785	276720	1	274785,	276720,	P53129
587	YGL123W	chrVII	+	277622	278387	277622	278387	1	277622,	278387,	P25443
587	YGL123C-A	chrVII	-	277639	277870	277639	277870	1	277639,	277870,	n/a
587	YGL122C	chrVII	-	278951	280529	278951	280529	1	278951,	280529,	P32505
587	YGL121C	chrVII	-	280782	281163	280782	281163	1	280782,	281163,	P53130
587	YGL120C	chrVII	-	281639	283943	281639	283943	1	281639,	283943,	P53131
587	YGL119W	chrVII	+	284447	285953	284447	285953	1	284447,	285953,	P27697
587	YGL118C	chrVII	-	288019	288457	288019	288457	1	288019,	288457,	n/a
587	YGL117W	chrVII	+	288517	289315	288517	289315	1	288517,	289315,	P53133
587	YGL116W	chrVII	+	289811	291644	289811	291644	1	289811,	291644,	P26309
587	YGL115W	chrVII	+	292035	293004	292035	293004	1	292035,	293004,	P12904
587	YGL114W	chrVII	+	293462	295640	293462	295640	1	293462,	295640,	P53134
587	YGL113W	chrVII	+	295934	297941	295934	297941	1	295934,	297941,	P53135
587	YGL112C	chrVII	-	298180	299731	298180	299731	1	298180,	299731,	P53040
587	YGL111W	chrVII	+	299980	301372	299980	301372	1	299980,	301372,	P53136
587	YGL110C	chrVII	-	301539	303414	301539	303414	1	301539,	303414,	P53137
587	YGL109W	chrVII	+	303515	303839	303515	303839	1	303515,	303839,	n/a
587	YGL108C	chrVII	-	303651	304074	303651	304074	1	303651,	304074,	P53139
587	YGL107C	chrVII	-	304335	306276	304335	306276	1	304335,	306276,	P53140
587	YGL106W	chrVII	+	306562	307012	306562	307012	1	306562,	307012,	P53141
587	YGL105W	chrVII	+	307439	308570	307439	308570	1	307439,	308570,	P46672
587	YGL104C	chrVII	-	308715	310176	308715	310176	1	308715,	310176,	P53142
587	YGL103W	chrVII	+	310969	311930	310969	311930	2	310969,311529,	311018,311930,	P02406
587	YGL102C	chrVII	-	311507	311936	311507	311936	1	311507,	311936,	n/a
587	YGL101W	chrVII	+	312195	312843	312195	312843	1	312195,	312843,	P53144
587	YGL100W	chrVII	+	313236	314286	313236	314286	1	313236,	314286,	P53011
587	YGL099W	chrVII	+	314633	316556	314633	316556	1	314633,	316556,	P53145
587	YGL098W	chrVII	+	317344	318082	317344	318082	1	317344,	318082,	P53146
587	YGL097W	chrVII	+	321784	323233	321784	323233	1	321784,	323233,	P21827
587	YGL096W	chrVII	+	325333	326164	325333	326164	1	325333,	326164,	P53147
587	YGL095C	chrVII	-	328876	330610	328876	330610	1	328876,	330610,	P38932
587	YGL094C	chrVII	-	331120	334468	331120	334468	1	331120,	334468,	P53010
587	YGL093W	chrVII	+	334888	337642	334888	337642	1	334888,	337642,	P53148
587	YGL092W	chrVII	+	337908	341862	337908	341862	1	337908,	341862,	P49687
587	YGL091C	chrVII	-	342058	343045	342058	343045	1	342058,	343045,	P52920
587	YGL090W	chrVII	+	343321	344587	343321	344587	1	343321,	344587,	P53150
587	YGL089C	chrVII	-	344793	345156	344793	345156	1	344793,	345156,	P32435
587	YGL088W	chrVII	+	345838	346204	345838	346204	1	345838,	346204,	n/a
587	YGL087C	chrVII	-	346408	346907	346408	346907	2	346408,346896,	346811,346907,	P53152
587	YGL086W	chrVII	+	347121	349371	347121	349371	1	347121,	349371,	P40957
587	YGL085W	chrVII	+	349618	350443	349618	350443	1	349618,	350443,	P53153
587	YGL084C	chrVII	-	350618	352301	350618	352301	1	350618,	352301,	P53154
587	YGL083W	chrVII	+	353060	355475	353060	355475	1	353060,	355475,	P53009
587	YGL082W	chrVII	+	355829	356975	355829	356975	1	355829,	356975,	P53155
587	YGL081W	chrVII	+	357379	358342	357379	358342	1	357379,	358342,	P53156
587	YGL080W	chrVII	+	358638	359031	358638	359031	1	358638,	359031,	P53157
587	YGL079W	chrVII	+	359446	360103	359446	360103	1	359446,	360103,	P53158
587	YGL078C	chrVII	-	360290	361862	360290	361862	1	360290,	361862,	P20447
587	YGL077C	chrVII	-	362227	363919	362227	363919	1	362227,	363919,	P19807
587	YGL076C	chrVII	-	364337	365999	364337	365999	3	364337,365435,365988,	364967,365529,365999,	P05737
587	YGL075C	chrVII	-	366927	368091	366927	368091	1	366927,	368091,	P53159
587	YGL074C	chrVII	-	368598	368925	368598	368925	1	368598,	368925,	n/a
587	YGL073W	chrVII	+	368755	371257	368755	371257	1	368755,	371257,	P10961
587	YGL072C	chrVII	-	371005	371365	371005	371365	1	371005,	371365,	n/a
587	YGL071W	chrVII	+	372014	374087	372014	374087	1	372014,	374087,	P22149
587	YGL070C	chrVII	-	374461	374830	374461	374830	1	374461,	374830,	P27999
587	YGL069C	chrVII	-	375052	375517	375052	375517	1	375052,	375517,	n/a
587	YGL068W	chrVII	+	375089	375674	375089	375674	1	375089,	375674,	P53163
587	YGL067W	chrVII	+	376103	377258	376103	377258	1	376103,	377258,	P53164
587	YGL066W	chrVII	+	377611	379585	377611	379585	1	377611,	379585,	P53165
587	YGL065C	chrVII	-	379762	381274	379762	381274	1	379762,	381274,	P43636
587	YGL064C	chrVII	-	381525	383211	381525	383211	1	381525,	383211,	P53166
587	YGL063W	chrVII	+	383656	384769	383656	384769	1	383656,	384769,	P53167
587	YGL063C-A	chrVII	-	384504	384654	384504	384654	1	384504,	384654,	n/a
587	YGL062W	chrVII	+	385198	388735	385198	388735	1	385198,	388735,	P11154
587	YGL061C	chrVII	-	388970	389714	388970	389714	1	388970,	389714,	P53168
587	YGL060W	chrVII	+	390069	391995	390069	391995	1	390069,	391995,	P53169
73	YGL059W	chrVII	+	392227	393703	392227	393703	1	392227,	393703,	P53170
588	YGL058W	chrVII	+	393991	394510	393991	394510	1	393991,	394510,	P06104
588	YGL057C	chrVII	-	394971	395835	394971	395835	1	394971,	395835,	P53171
588	YGL056C	chrVII	-	396040	397624	396040	397624	1	396040,	397624,	P53172
588	YGL055W	chrVII	+	398630	400163	398630	400163	1	398630,	400163,	P21147
588	YGL054C	chrVII	-	400873	401290	400873	401290	1	400873,	401290,	P53173
588	YGL053W	chrVII	+	402591	403305	402591	403305	1	402591,	403305,	P53174
588	YGL052W	chrVII	+	403439	403745	403439	403745	1	403439,	403745,	n/a
588	YGL051W	chrVII	+	403689	404394	403689	404394	1	403689,	404394,	P53176
588	YGL050W	chrVII	+	405778	406600	405778	406600	1	405778,	406600,	P53177
588	YGL049C	chrVII	-	406862	409607	406862	409607	1	406862,	409607,	P39936
588	YGL048C	chrVII	-	410071	411289	410071	411289	1	410071,	411289,	Q01939
588	YGL047W	chrVII	+	411554	412163	411554	412163	1	411554,	412163,	P53178
588	YGL045W	chrVII	+	414105	415734	414105	415734	1	414105,	415734,	P53179
588	YGL044C	chrVII	-	416149	417040	416149	417040	1	416149,	417040,	P25299
588	YGL043W	chrVII	+	417486	418416	417486	418416	1	417486,	418416,	P07273
588	YGL042C	chrVII	-	418291	418597	418291	418597	1	418291,	418597,	n/a
588	YGL041C-B	chrVII	-	418708	418891	418708	418891	1	418708,	418891,	Q3E750
588	YGL041C	chrVII	-	418916	419231	418916	419231	1	418916,	419231,	n/a
588	YGL041W-A	chrVII	+	419046	419295	419046	419295	1	419046,	419295,	P0C5N3
588	YGL040C	chrVII	-	419532	420561	419532	420561	1	419532,	420561,	P05373
588	YGL039W	chrVII	+	423966	425013	423966	425013	1	423966,	425013,	P53183
588	YGL038C	chrVII	-	425367	426810	425367	426810	1	425367,	426810,	P31755
588	YGL037C	chrVII	-	427302	427953	427302	427953	1	427302,	427953,	P53184
588	YGL036W	chrVII	+	428605	431335	428605	431335	1	428605,	431335,	P53185
588	YGL035C	chrVII	-	431552	433067	431552	433067	1	431552,	433067,	P27705
588	YGL034C	chrVII	-	433218	433584	433218	433584	1	433218,	433584,	n/a
588	YGL033W	chrVII	+	435629	436356	435629	436356	2	435629,435754,	435684,436356,	P53187
588	YGL032C	chrVII	-	436574	436838	436574	436838	1	436574,	436838,	P32781
588	YGL031C	chrVII	-	437471	438402	437471	437939	2	437471,437946,	437939,438402,	P04449
588	YGL030W	chrVII	+	439095	439643	439095	439643	2	439095,439328,	439098,439643,	P14120
588	YGL029W	chrVII	+	440067	440430	440067	440430	1	440067,	440430,	P53188
588	YGL028C	chrVII	-	441285	442914	441285	442914	1	441285,	442914,	P53189
588	YGL027C	chrVII	-	443646	446148	443646	446148	1	443646,	446148,	P53008
588	YGL026C	chrVII	-	446416	448540	446416	448540	1	446416,	448540,	P00931
588	YGL025C	chrVII	-	448768	449962	448768	449962	1	448768,	449962,	P40356
588	YGL024W	chrVII	+	449792	450128	449792	450128	1	449792,	450128,	n/a
588	YGL023C	chrVII	-	450201	452109	450201	452109	1	450201,	452109,	P53191
588	YGL022W	chrVII	+	452408	454565	452408	454565	1	452408,	454565,	P39007
588	YGL021W	chrVII	+	454789	457072	454789	457072	1	454789,	457072,	P43633
588	YGL020C	chrVII	-	457167	457875	457167	457875	1	457167,	457875,	P53192
588	YGL019W	chrVII	+	458160	458997	458160	458997	1	458160,	458997,	P43639
588	YGL018C	chrVII	-	459114	459669	459114	459669	1	459114,	459669,	P53193
588	YGL017W	chrVII	+	459858	461370	459858	461370	1	459858,	461370,	P16639
588	YGL016W	chrVII	+	461670	464916	461670	464916	1	461670,	464916,	P32767
588	YGL015C	chrVII	-	465047	465440	465047	465440	1	465047,	465440,	P33199
588	YGL014W	chrVII	+	466145	468812	466145	468812	1	466145,	468812,	P25339
588	YGL014C-A	chrVII	-	466241	466403	466241	466403	1	466241,	466403,	n/a
588	YGL013C	chrVII	-	469096	472303	469096	472303	1	469096,	472303,	P12383
588	YGL012W	chrVII	+	472859	474281	472859	474281	1	472859,	474281,	P25340
588	YGL011C	chrVII	-	474493	475252	474493	475252	1	474493,	475252,	P21243
588	YGL010W	chrVII	+	475549	476074	475549	476074	1	475549,	476074,	P25338
588	YGL009C	chrVII	-	476317	478657	476317	478657	1	476317,	478657,	P07264
588	YGL008C	chrVII	-	479914	482671	479914	482671	1	479914,	482671,	P05030
588	YGL007C-A	chrVII	-	482945	483032	482945	483032	1	482945,	483032,	Q8TGU0
588	YGL007W	chrVII	+	483264	483642	483264	483642	1	483264,	483642,	n/a
588	YGL006W-A	chrVII	+	485427	485538	485427	485538	1	485427,	485538,	Q3E802
588	YGL006W	chrVII	+	485924	489446	485924	489446	1	485924,	489446,	P38929
588	YGL005C	chrVII	-	489711	490551	489711	490551	1	489711,	490551,	P53195
588	YGL004C	chrVII	-	490706	491960	490706	491960	1	490706,	491960,	P53196
588	YGL003C	chrVII	-	492477	494178	492477	494178	1	492477,	494178,	P53197
588	YGL002W	chrVII	+	494520	495171	494520	495171	1	494520,	495171,	P53198
588	YGL001C	chrVII	-	495456	496506	495456	496506	1	495456,	496506,	P53199
588	YGR001C	chrVII	-	497136	498038	497136	498038	3	497136,497462,498003,	497369,497941,498038,	P53200
588	YGR002C	chrVII	-	498479	499910	498479	499910	1	498479,	499910,	P53201
588	YGR003W	chrVII	+	500135	502370	500135	502370	1	500135,	502370,	P53202
588	YGR004W	chrVII	+	502941	504330	502941	504330	1	502941,	504330,	P53203
588	YGR005C	chrVII	-	504660	505863	504660	505863	1	504660,	505863,	P41896
588	YGR006W	chrVII	+	506073	506829	506073	506829	1	506073,	506829,	P33411
588	YGR007W	chrVII	+	506972	507944	506972	507944	1	506972,	507944,	P33412
588	YGR008C	chrVII	-	508113	508368	508113	508368	1	508113,	508368,	P16965
588	YGR009C	chrVII	-	509050	511006	509050	511006	1	509050,	511006,	P40357
588	YGR010W	chrVII	+	511548	512736	511548	512736	1	511548,	512736,	P53204
588	YGR011W	chrVII	+	512500	512827	512500	512827	1	512500,	512827,	n/a
588	YGR012W	chrVII	+	513162	514344	513162	514344	1	513162,	514344,	P53206
588	YGR013W	chrVII	+	514557	516420	514557	516420	1	514557,	516420,	P53207
588	YGR014W	chrVII	+	516946	520867	516946	520867	1	516946,	520867,	P32334
588	YGR015C	chrVII	-	521093	522080	521093	522080	1	521093,	522080,	P53208
588	YGR016W	chrVII	+	522264	522837	522264	522837	1	522264,	522837,	P53209
73	YGR017W	chrVII	+	523790	524684	523790	524684	1	523790,	524684,	P53210
589	YGR018C	chrVII	-	524368	524698	524368	524698	1	524368,	524698,	n/a
589	YGR019W	chrVII	+	525232	526648	525232	526648	1	525232,	526648,	P17649
589	YGR020C	chrVII	-	526976	527333	526976	527333	1	526976,	527333,	P39111
589	YGR021W	chrVII	+	527635	528508	527635	528508	1	527635,	528508,	P53212
589	YGR022C	chrVII	-	529260	529590	529260	529590	1	529260,	529590,	n/a
589	YGR023W	chrVII	+	529267	530923	529267	530923	1	529267,	530923,	P53214
589	YGR024C	chrVII	-	531886	532600	531886	532600	1	531886,	532600,	P53215
589	YGR025W	chrVII	+	532642	532945	532642	532945	1	532642,	532945,	n/a
589	YGR026W	chrVII	+	532988	533825	532988	533825	1	532988,	533825,	P53217
589	YGR027C	chrVII	-	534135	534789	534135	534462	2	534135,534477,	534462,534789,	Q3E792
589	YGR027W-B	chrVII	+	536060	541329	536060	541329	2	536060,537366,	537365,541329,	Q12141
589	YGR027W-A	chrVII	+	536060	537383	536060	537383	1	536060,	537383,	Q12085
589	YGR028W	chrVII	+	542206	543295	542206	543295	1	542206,	543295,	P28737
589	YGR029W	chrVII	+	543556	544209	543556	544209	2	543556,543725,	543642,544209,	P27882
589	YGR030C	chrVII	-	545684	546161	545684	546161	1	545684,	546161,	P53218
589	YGR031W	chrVII	+	546444	547473	546444	547473	1	546444,	547473,	P53219
589	YGR031C-A	chrVII	-	546812	547304	546812	547304	1	546812,	547304,	Q8TGN9
589	YGR032W	chrVII	+	548267	553955	548267	553955	1	548267,	553955,	P40989
589	YGR033C	chrVII	-	554251	554971	554251	554971	1	554251,	554971,	P53220
589	YGR034W	chrVII	+	555815	556676	555815	556676	2	555815,556311,	555834,556676,	P53221
589	YGR035C	chrVII	-	557075	557426	557075	557426	1	557075,	557426,	P53222
589	YGR035W-A	chrVII	+	557568	557790	557568	557790	1	557568,	557790,	Q45U48
589	YGR036C	chrVII	-	558152	558872	558152	558872	1	558152,	558872,	P53223
589	YGR037C	chrVII	-	559734	559998	559734	559998	1	559734,	559998,	P31787
589	YGR038W	chrVII	+	560685	561354	560685	561354	1	560685,	561354,	P53224
589	YGR038C-B	chrVII	-	562202	567471	562202	567471	2	562202,566166,	566165,567471,	Q12269
589	YGR038C-A	chrVII	-	566148	567471	566148	567471	1	566148,	567471,	Q12485
589	YGR039W	chrVII	+	574891	575203	574891	575203	1	574891,	575203,	n/a
589	YGR040W	chrVII	+	575401	576508	575401	576508	1	575401,	576508,	P14681
589	YGR041W	chrVII	+	577490	579134	577490	579134	1	577490,	579134,	P53226
589	YGR042W	chrVII	+	579479	580295	579479	580295	1	579479,	580295,	P53227
589	YGR043C	chrVII	-	580438	581440	580438	581440	1	580438,	581440,	P53228
589	YGR044C	chrVII	-	582993	583896	582993	583896	1	582993,	583896,	P32338
589	YGR045C	chrVII	-	583937	584300	583937	584300	1	583937,	584300,	n/a
589	YGR046W	chrVII	+	584898	586056	584898	586056	1	584898,	586056,	P53230
589	YGR047C	chrVII	-	586395	589473	586395	589473	1	586395,	589473,	P33339
589	YGR048W	chrVII	+	589829	590915	589829	590915	1	589829,	590915,	P53044
589	YGR049W	chrVII	+	591317	591881	591317	591881	1	591317,	591881,	P32564
589	YGR050C	chrVII	-	592089	592446	592089	592446	1	592089,	592446,	n/a
589	YGR051C	chrVII	-	592909	593233	592909	593233	1	592909,	593233,	n/a
589	YGR052W	chrVII	+	593599	594709	593599	594709	1	593599,	594709,	P53233
589	YGR053C	chrVII	-	594989	595841	594989	595841	1	594989,	595841,	P53234
589	YGR054W	chrVII	+	596696	598625	596696	598625	1	596696,	598625,	P53235
