name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
uc007afi.2	chr1	+	4847774	4887990	4847994	4886445	10	4847774,4857550,4868107,4876824,4879537,4880820,4881995,4883497,4885014,4886436,	4848057,4857613,4868213,4876912,4879683,4880877,4882150,4883644,4885086,4887990,	Q3UWX7	uc007afi.2
uc011wht.1	chr1	+	4847774	4887990	4847994	4886445	10	4847774,4857550,4868107,4876824,4879540,4880820,4881995,4883497,4885014,4886436,	4848057,4857613,4868213,4876912,4879683,4880877,4882150,4883644,4885086,4887990,	NP_001153222	uc011wht.1
uc011whu.1	chr1	+	4848408	4887990	4848488	4886445	10	4848408,4857550,4868107,4876824,4879537,4880820,4881995,4883497,4885014,4886436,	4848584,4857613,4868213,4876912,4879683,4880877,4882150,4883644,4885086,4887990,	NP_001153223	uc011whu.1
uc007afk.2	chr1	-	4899656	5009507	4900554	5009460	5	4899656,4902394,4906977,4913927,5009391,	4900743,4902629,4907061,4914070,5009507,	Q9QZB1	uc007afk.2
uc007afl.2	chr1	-	4899656	5060366	4900554	5060258	6	4899656,4902394,4906977,4913927,5010818,5060090,	4900743,4902629,4907061,4914070,5011118,5060366,	NP_001171266	uc007afl.2
uc007afm.1	chr1	+	5073253	5089858	5074540	5088289	6	5073253,5074497,5079089,5083443,5085695,5088109,	5073359,5074644,5079192,5083533,5085809,5089858,	Q3U9S9	uc007afm.1
uc007afn.1	chr1	+	5073253	5152630	5074531	5152246	14	5073253,5074497,5079089,5083443,5085695,5088109,5091150,5107470,5114357,5123164,5125892,5133830,5140028,5152185,	5073359,5074644,5079192,5083533,5085809,5088214,5091204,5107568,5114550,5123343,5126018,5133932,5140142,5152630,	Q8BVE3	uc007afn.1
uc011whv.1	chr1	-	5159376	5159402	5159376	5159376	1	5159376,	5159402,		uc011whv.1
uc007afo.1	chr1	+	5578573	5592947	5579129	5592865	4	5578573,5579115,5588670,5592332,	5578744,5579386,5589023,5592947,	Q14AL5	uc007afo.1
uc007afp.1	chr1	+	5578573	5592947	5579129	5592865	4	5578573,5579085,5588670,5592332,	5578744,5579386,5589023,5592947,	Q14AL5	uc007afp.1
uc007afq.1	chr1	+	5586598	5592947	5588680	5592865	2	5586598,5592332,	5589023,5592947,	Q14AL5	uc007afq.1
uc011whw.1	chr1	-	5903787	5907479	5906384	5907374	1	5903787,	5907479,	P49681	uc011whw.1
uc007afr.2	chr1	+	6204742	6266185	6220083	6264356	24	6204742,6218020,6220039,6224041,6224309,6228342,6230032,6234185,6234875,6235238,6235505,6235678,6237786,6238146,6238356,6251010,6252914,6253104,6254622,6255654,6258778,6260771,6262781,6264278,	6205038,6218130,6220154,6224168,6224480,6228545,6230459,6234356,6235060,6235425,6235587,6235740,6237890,6238273,6240248,6251176,6253023,6253345,6254671,6255702,6258837,6260908,6262852,6266185,	NP_033956	uc007afr.2
uc011whx.1	chr1	+	6224309	6266185	6224342	6264356	21	6224309,6228342,6230032,6230385,6234185,6234875,6235238,6235505,6235678,6237786,6238146,6238356,6251010,6252914,6253104,6254622,6255654,6258778,6260771,6262781,6264278,	6224480,6228545,6230271,6230459,6234356,6235060,6235425,6235587,6235740,6237890,6238273,6240248,6251176,6253023,6253345,6254671,6255702,6258837,6260908,6262852,6266185,	Q8CHH8	uc011whx.1
uc007afs.1	chr1	+	6231050	6240248	6234212	6240246	8	6231050,6234875,6235238,6235505,6235678,6237786,6238146,6238356,	6234356,6235060,6235425,6235587,6235740,6237890,6238273,6240248,	Q8CHH8	uc007afs.1
uc007aft.2	chr1	+	6252914	6266185	6252947	6264356	8	6252914,6253104,6254622,6255654,6258778,6260771,6262781,6264278,	6253023,6253345,6254671,6255702,6258837,6260899,6262852,6266185,		uc007aft.2
uc007afu.2	chr1	+	6260758	6266185	6260758	6260758	3	6260758,6262781,6264278,	6260908,6262852,6266185,		uc007afu.2
uc007afv.2	chr1	+	6349411	6384812	6349411	6381185	5	6349411,6378653,6379520,6381120,6384350,	6349595,6378707,6379601,6381197,6384812,	NP_001182661	uc007afv.2
uc007afw.1	chr1	+	6477311	6851021	6758978	6848681	24	6477311,6477698,6727660,6743074,6758978,6761024,6785466,6792400,6797623,6799357,6800654,6807683,6810014,6817856,6823643,6832219,6832953,6834201,6834371,6835651,6838987,6845449,6847380,6848540,	6477486,6477822,6727738,6743117,6759033,6761055,6785657,6793186,6797758,6799448,6800759,6807877,6810226,6818102,6823759,6832282,6833022,6834264,6834452,6835873,6839076,6845553,6847524,6851021,	Q148A0	uc007afw.1
uc007afx.1	chr1	+	6477311	6851021	6758978	6848681	23	6477311,6477698,6743074,6758978,6761024,6785466,6792400,6797623,6799357,6800654,6807683,6810014,6817856,6823643,6832219,6832953,6834201,6834371,6835651,6838987,6845449,6847380,6848540,	6477486,6477822,6743117,6759033,6761055,6785657,6793186,6797758,6799448,6800759,6807877,6810226,6818102,6823759,6832282,6833022,6834264,6834452,6835873,6839076,6845553,6847524,6851021,	Q148A0	uc007afx.1
uc007afy.1	chr1	+	6720131	6851021	6758978	6848681	24	6720131,6727660,6742376,6743074,6758978,6761024,6785466,6792400,6797623,6799357,6800654,6807683,6810014,6817856,6823643,6832219,6832953,6834201,6834371,6835651,6838987,6845449,6847380,6848540,	6720321,6727738,6742449,6743117,6759033,6761055,6785657,6793186,6797758,6799448,6800759,6807877,6810226,6818102,6823759,6832282,6833022,6834264,6834452,6835873,6839076,6845553,6847524,6851021,	Q148A0	uc007afy.1
uc007afz.1	chr1	+	6720131	6851021	6758978	6848681	23	6720131,6742376,6743074,6758978,6761024,6785466,6792400,6797623,6799357,6800654,6807683,6810014,6817856,6823643,6832219,6832953,6834201,6834371,6835651,6838987,6845449,6847380,6848540,	6720321,6742449,6743117,6759033,6761055,6785657,6793186,6797758,6799448,6800759,6807877,6810226,6818102,6823759,6832282,6833022,6834264,6834452,6835873,6839076,6845553,6847524,6851021,	Q148A0	uc007afz.1
uc007aga.1	chr1	+	6720131	6851021	6758978	6848681	22	6720131,6743074,6758978,6761024,6785466,6792400,6797623,6799357,6800654,6807683,6810014,6817856,6823643,6832219,6832953,6834201,6834371,6835651,6838987,6845449,6847380,6848540,	6720321,6743117,6759033,6761055,6785657,6793186,6797758,6799448,6800759,6807877,6810226,6818102,6823759,6832282,6833022,6834264,6834452,6835873,6839076,6845553,6847524,6851021,	Q148A0	uc007aga.1
uc007agb.1	chr1	+	7079000	7163709	7110389	7159963	6	7079000,7110274,7137717,7150972,7153328,7159595,	7079297,7110696,7137820,7151144,7153452,7163709,	Q3TGS5	uc007agb.1
uc007agc.1	chr1	+	7079000	7163709	7151126	7159963	5	7079000,7137717,7150972,7153328,7159595,	7079297,7137820,7151144,7153452,7163709,	Q3TSP0	uc007agc.1
